## This file was extracted from ExpressionPlot by grabbing the TCGA::COAD
## project and extractings the gene information from a SummarizedExperiment
## version of the data.
##
## library(ExpressionPlot)
## p <- ep.find.project('PRJ0004323')
## se <- ep.SummarizedExperiment(p, attach.annot=TRUE)
## gdata <- transform(as.data.frame(mcols(se)), entrez.id=rownames(se))
## out <- gdata[, c('symbol', 'entrez.id', 'size')]
"symbol","entrez.id","size"
"A1BG","1",1766
"NAT2","10",1317
"ADA","100",1532
"CDH2","1000",4367
"AKT3","10000",7341
"GAGE12F","100008586",354
"RN5-8S1","100008587",156
"RN18S1","100008588",1869
"RN28S1","100008589",5070
"ANO1-AS2","100009613",1006
"LOC100009676","100009676",2788
"MED6","10001",1344
"NR2E3","10002",2811
"NAALAD2","10003",3196
"SNORD116-1","100033413",94
"SNORD116-2","100033414",97
"SNORD116-3","100033415",97
"SNORD116-4","100033416",98
"SNORD116-5","100033417",97
"SNORD116-6","100033418",98
"SNORD116-7","100033419",97
"SNORD116-8","100033420",97
"SNORD116-9","100033421",97
"SNORD116-10","100033422",104
"SNORD116-11","100033423",94
"SNORD116-12","100033424",94
"SNORD116-13","100033425",94
"SNORD116-14","100033426",94
"SNORD116-15","100033427",94
"SNORD116-16","100033428",94
"SNORD116-17","100033429",94
"SNORD116-18","100033430",94
"SNORD116-20","100033431",94
"SNORD116-21","100033432",94
"SNORD116-22","100033433",94
"SNORD116-23","100033434",94
"SNORD116-24","100033435",94
"SNORD116-25","100033436",94
"SNORD115-2","100033437",82
"SNORD116-26","100033438",98
"SNORD116-27","100033439",94
"SNORD115-3","100033440",82
"SNORD115-4","100033441",82
"SNORD115-5","100033442",82
"SNORD115-6","100033443",82
"SNORD115-7","100033444",82
"SNORD115-8","100033445",82
"SNORD115-9","100033446",82
"SNORD115-10","100033447",81
"SNORD115-11","100033448",82
"SNORD115-12","100033449",82
"SNORD115-13","100033450",82
"SNORD115-14","100033451",81
"SNORD115-15","100033453",81
"SNORD115-16","100033454",82
"SNORD115-17","100033455",82
"SNORD115-18","100033456",82
"SNORD115-19","100033458",82
"SNORD115-20","100033460",82
"SNORD115-21","100033603",81
"SNORD115-22","100033799",82
"SNORD115-23","100033800",82
"SNORD115-25","100033801",82
"SNORD115-26","100033802",82
"SNORD115-29","100033803",82
"SNORD115-30","100033804",82
"SNORD115-31","100033805",82
"SNORD115-32","100033806",82
"SNORD115-33","100033807",82
"SNORD115-34","100033808",82
"SNORD115-35","100033809",82
"SNORD115-36","100033810",82
"SNORD115-37","100033811",82
"SNORD115-38","100033812",82
"SNORD115-39","100033813",82
"SNORD115-40","100033814",82
"SNORD115-41","100033815",82
"SNORD115-42","100033816",82
"SNORD115-43","100033817",82
"SNORD115-44","100033818",82
"MIR675","100033819",73
"SNORD116-28","100033820",93
"SNORD116-29","100033821",85
"SNORD115-48","100033822",76
"FOXD4L2","100036519",3109
"SNORD115-24","100036563",71
"SNORD115-27","100036564",76
"SNORD115-28","100036565",74
"SNORD115-45","100036566",53
"SNORD115-47","100036567",33
"DDTL","100037417",1635
"TLX1NB","100038246",1882
"NAALADL1","10004",2687
"CDKN2B-AS1","100048912",4211
"GUSBP9","100049076",504
"SIGLEC14","100049587",2113
"SKCG-1","100049615",375
"LOC100049716","100049716",2812
"ACOT8","10005",1171
"ABI1","10006",3776
"GNPDA1","10007",2297
"MIMT1","100073347",1288
"KCNE3","10008",3070
"ZBTB33","10009",5311
"SNHG8","100093630",619
"LOC100093631","100093631",3454
"LOC100093698","100093698",2249
"CDH3","1001",4276
"TANK","10010",2335
"TTTY21B","100101115",307
"TTTY1B","100101116",940
"TTTY2B","100101117",1633
"TTTY8B","100101118",531
"TTTY7B","100101120",1111
"TTTY23B","100101121",512
"LOC100101266","100101266",1255
"POM121C","100101267",5863
"ZSCAN30","100101467",4332
"PSIMCT-1","100101490",839
"GAGE8","100101629",517
"ANKRD26P3","100101938",3726
"SRA1","10011",2104
"SNORD119","100113378",96
"SNORD121A","100113379",91
"SNORD125","100113380",96
"SNORD19B","100113381",93
"SNORD105B","100113382",92
"SNORD123","100113384",88
"SNORD121B","100113385",93
"UCKL1-AS1","100113386",3571
"SNORD127","100113389",101
"SNORD124","100113390",104
"SNORD126","100113391",99
"SNORD11B","100113392",112
"SNORD12B","100113393",103
"SNORD111B","100113402",101
"LINC00577","100113403",575
"C9orf146","100113404",384
"TMEM170B","100113407",8362
"FAM138E","100124412",1130
"SNORD58C","100124516",90
"SCARNA27","100124533",126
"SNORA84","100124534",133
"SNORA36C","100124535",128
"SNORA38B","100124536",132
"SNORA70B","100124537",134
"SNORA70C","100124538",136
"SNORA11B","100124539",127
"SNORA11C","100124540",127
"SNORA11D","100124541",127
"SNORA11E","100124542",127
"LOC100124692","100124692",3538
"HOTAIR","100124700",2579
"ZGLP1","100125288",1980
"LOC100125556","100125556",2041
"FMR1-AS1","100126270",3026
"MIR298","100126296",88
"MIR300","100126297",83
"VTRNA2-1","100126299",100
"MIR509-2","100126301",91
"MIR450B","100126302",78
"MIR890","100126303",77
"MIR891B","100126304",79
"MIR888","100126306",77
"MIR892B","100126307",77
"MIR541","100126308",84
